TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,base-devel,is a group package with sudo and compilation software
,git,is a version control system
,i3-gaps,is the main graphical user interface and window manager
,xorg-server,is the graphical server
,xorg-xdpyinfo,retrieves screen information for some scripts
,xorg-xwininfo,allows querying information about windows
,xorg-xinit,starts the graphical server
G,https://github.com/lobsterdinnerparty/st.git,is my custom build of suckless's terminal emulator
,ttf-inconsolata,is the monospace font of LARBS
,ttf-linux-libertine,provides the sans and serif fonts for LARBS
,ranger,is an extensive terminal file manager that everyone likes
,arandr,is a UI for screen adjustment
,calcurse,is a lightweight terminal-based calendar
,compton,for transparency and removing screen-tearing
,cronie,manages scheduled tasks
,dosfstools,allows your computer to access dos-like filesystems
,dunst,is a suckless notification system
,exfat-utils,allows management of FAT drives
,feh,is a minimal image viewer
,ffmpeg,can record and splice video and audio on the command line
,chromium,the browser
,gnome-keyring,serves as the system keyring
,gnome-themes-extra,gives the dark GTK theme used in LARBS
,gvim,provides a build of vim with the ability to copy and paste between other programs
,i3lock,is the screen lock
,mpd,is a lightweight music daemon
,mpc,is a terminal interface for mpd
,mpv,is the patrician's choice video/gif player
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor
,networkmanager,does exactly what it sounds like
A,ttf-emojione,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,ntfs-3g,allows accessing NTFS partitions
,pulseaudio,is the audio system (>inb4 bloat)
,pulseaudio-alsa,is an audio interface with ALSA
,pamixer,is a terminal audio control interface
,pulsemixer,is an intuitive ncurses audio controller
,python-pywal,generates color schemes based on your wallpaper
,scrot,can take quick screenshots at your request
,tmux,is a terminal multiplexer and the dropdown window in LARBS
,unrar,extracts rar's
,unzip,unzips zips
,w3m,is a terminal browser which can also view images
,wget,downloads sites and files on the command line
,xcape,gives the special escape/super mappings of LARBS
,xdotool,provides window action utilities on the command line.
,xssstate,times out the screen if locked
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link
,poppler,manipulates .pdfs and gives .pdf previews in ranger
,mediainfo,shows audio and video information and is used by ranger as well
,atool,manages and gives information about archives
,fzf,is a fuzzy finder tool
,highlight,can highlight code output
,cmatrix,matrix
,transmission-cli,torrent client - cli
,transmission-gtk,torrent client - gui
,pidgin,IM
,pidgin-otr,encryption for pidgin
,mumble,VOIP client
,thunderbird,mail client
,electrum,bitcoin wallet
,irssi,irc client
,bleachbit,clean garbage
,curl,url stuff
,zsh-completions,the name lol
,xdg-user-dirs,directories in home
,arandr,render stuff
,dmenu,run programs and stuff
,lxappearance,gtk themes manager
,lxrandr,display manager
,qt5ct,qt5 config editor
,qt5-styleplugins,the name
,xorg-xrandr,render stuff
,awesome-terminal-fonts,symbols font
A,polybar,"task"bar
,terminus-font,terminal font
,tff-dejavu,epic very nice font
